layout,node_num,time
gpu,1138,0.43 
gpu,1224,0.50 
gpu,4039,0.52 
gpu,4720,0.50 
gpu,7920,0.56 
gpu,11143,0.57 
gpu,27770,1.40 
gpu,34546,1.60 
gpu,81306,4.01 
gpu,82168,3.33 
gpu,265214,11.77 
gpu,281903,10.09 
gpu,325729,8.22 
gpu,415641,30.32 
gpu,875713,60.23 
cpu,1138,0.78 
cpu,1224,1.28 
cpu,4039,4.58 
cpu,4720,3.52 
cpu,7920,6.27 
cpu,11143,9.30 
cpu,27770,43.22 
cpu,34546,56.08 
cpu,81306,147.70 
cpu,82168,133.56 
cpu,265214,567.38 
cpu,281903,576.94 
cpu,325729,482.17 
cpu,415641,701.03 
cpu,875713,1441.70 
yifan hu,1138,5.70 
yifan hu,1224,7.82 
yifan hu,4039,57.72 
yifan hu,4720,15.53 
yifan hu,7920,20.98 
yifan hu,11143,54.48 
yifan hu,27770,387.55 
yifan hu,34546,608.49 
yifan hu,81306,1424.67 
yifan hu,82168,1137.78 
yifan hu,265214,1752.59 
yifan hu,281903,5050.39 
yifan hu,325729,2503.36 
yifan hu,415641,1547.20 
yifan hu,875713,13273.72 
openord,1138,2.14 
openord,1224,2.44 
openord,4039,7.55 
openord,4720,7.77 
openord,7920,13.85 
openord,11143,19.58 
openord,27770,53.12 
openord,34546,110.35 
openord,81306,190.15 
openord,82168,169.21 
openord,265214,506.43 
openord,281903,550.27 
openord,325729,635.33 
openord,415641,959.54 
openord,875713,1841.00 
fa2,1138,0.56 
fa2,1224,1.30 
fa2,4039,5.29 
fa2,4720,2.24 
fa2,7920,3.78 
fa2,11143,6.32 
fa2,27770,79.10 
fa2,34546,192.09 
fa2,81306,191.26 
fa2,82168,280.63 
fa2,265214,488.67 
fa2,281903,562.09 
fa2,325729,498.26 
fa2,415641,1728.52 
fa2,875713,3958.76 
